track_id,crossing_any,crossing_crosswalk,crossing_non_crosswalk,wrong_way
788,False,False,False,NA
791,False,False,False,NA
795,False,False,False,NA
807,False,False,False,NA
814,False,False,False,False
817,False,False,False,NA
820,False,False,False,NA
825,False,False,False,NA
829,False,False,False,NA
834,False,False,False,NA
835,False,False,False,NA
836,False,False,False,NA
839,False,False,False,NA
841,True,False,True,NA
845,False,False,False,NA
846,False,False,False,NA
849,False,False,False,NA
850,False,False,False,NA
853,True,False,True,NA
855,False,False,False,NA
856,False,False,False,NA
857,False,False,False,NA
860,False,False,False,NA
861,False,False,False,NA
867,False,False,False,NA
868,False,False,False,False
871,False,False,False,NA
872,False,False,False,NA
880,False,False,False,NA
890,False,False,False,NA
896,False,False,False,NA
897,False,False,False,NA
899,False,False,False,NA
905,False,False,False,NA
910,False,False,False,NA
911,False,False,False,NA
912,False,False,False,NA
913,False,False,False,NA
920,False,False,False,NA
929,False,False,False,False
931,False,False,False,NA
933,False,False,False,NA
934,False,False,False,NA
936,False,False,False,NA
938,False,False,False,NA
940,False,False,False,NA
943,False,False,False,NA
949,False,False,False,NA
951,False,False,False,NA
952,False,False,False,False
953,False,False,False,NA
954,False,False,False,NA
955,False,False,False,NA
957,False,False,False,NA
975,False,False,False,NA
976,False,False,False,NA
979,False,False,False,NA
982,False,False,False,NA
985,False,False,False,NA
990,False,False,False,NA
992,False,False,False,NA
995,False,False,False,NA
998,False,False,False,NA
999,False,False,False,False
1000,False,False,False,NA
1001,False,False,False,NA
1002,False,False,False,NA
1003,False,False,False,False
1004,False,False,False,NA
1005,False,False,False,True
1008,False,False,False,False
1009,False,False,False,NA
1015,False,False,False,NA
1017,False,False,False,NA
1023,False,False,False,NA
1024,False,False,False,NA
1025,False,False,False,NA
1026,False,False,False,True
1027,False,False,False,NA
1028,False,False,False,NA
1030,False,False,False,False
1032,False,False,False,NA
1033,False,False,False,NA
1034,False,False,False,NA
1039,False,False,False,NA
1040,False,False,False,NA
1048,False,False,False,NA
1050,False,False,False,NA
1053,False,False,False,NA
1054,False,False,False,NA
1055,False,False,False,NA
1057,False,False,False,NA
1058,False,False,False,NA
1060,False,False,False,NA
1064,False,False,False,NA
1069,False,False,False,NA
1072,False,False,False,NA
1075,False,False,False,NA
1076,False,False,False,NA
1077,False,False,False,NA
1084,False,False,False,NA
1085,False,False,False,NA
1089,False,False,False,NA
1096,False,False,False,NA
1100,False,False,False,NA
1101,False,False,False,NA
1104,False,False,False,NA
1107,False,False,False,NA
1113,False,False,False,NA
1114,False,False,False,NA
1115,False,False,False,NA
1116,False,False,False,False
1120,False,False,False,NA
1121,False,False,False,False
1122,False,False,False,NA
1123,False,False,False,NA
1125,False,False,False,False
1126,False,False,False,NA
1127,False,False,False,NA
1128,False,False,False,NA
1129,False,False,False,NA
1130,False,False,False,NA
1138,False,False,False,NA
1139,False,False,False,NA
1140,False,False,False,NA
1142,False,False,False,NA
1143,False,False,False,NA
1147,False,False,False,NA
1152,False,False,False,NA
1156,False,False,False,NA
1158,False,False,False,NA
1163,False,False,False,NA
1164,False,False,False,NA
1165,False,False,False,NA
1166,False,False,False,NA
