event_id,n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow
0,1,False,,,,,,,,
1,4,False,,,,,,,,
2,5,True,1.0,False,True,False,bike_lane,,,
3,2,False,,,,,,,,
4,2,False,,,,,,,,
5,3,False,,,,,,,,
6,1,True,1.0,True,False,False,sidewalk,,,
7,14,True,3.0,False,True,False,bike_lane,False,along_flow,0.9374583075719535
8,3,True,2.0,True,True,False,sidewalk,True,against_flow,-0.3040988825488553
9,1,True,1.0,False,False,True,roadway,,,
10,7,True,2.0,False,True,False,bike_lane,,,
11,3,False,,,,,,,,
12,3,False,,,,,,,,
13,1,True,1.0,True,False,False,sidewalk,,,
14,11,True,3.0,True,True,False,sidewalk,True,against_flow,-0.6382843311342912
15,4,False,,,,,,,,
16,2,False,,,,,,,,
17,13,True,1.0,False,True,False,bike_lane,,,
18,1,False,,,,,,,,
19,5,False,,,,,,,,
20,12,False,,,,,,,,
21,2,False,,,,,,,,
22,8,True,3.0,True,True,False,bike_lane,True,against_flow,-0.3753029230621535
23,2,False,,,,,,,,
24,4,False,,,,,,,,
25,2,False,,,,,,,,
26,2,False,,,,,,,,
27,3,True,2.0,False,True,False,bike_lane,,,
28,5,False,,,,,,,,
29,1,True,1.0,True,False,False,sidewalk,,,
30,3,True,1.0,False,True,False,bike_lane,,,
31,3,True,3.0,False,True,True,roadway,True,against_flow,-0.4126816996029108
32,2,False,,,,,,,,
33,4,True,1.0,False,False,True,roadway,,,
34,6,False,,,,,,,,
35,4,True,1.0,False,False,True,roadway,,,
36,8,False,,,,,,,,
37,1,False,,,,,,,,
38,15,True,4.0,True,False,True,sidewalk,True,against_flow,-0.6303570465981606
39,2,False,,,,,,,,
40,3,True,2.0,True,True,False,sidewalk,False,along_flow,0.850950076480072
41,4,False,,,,,,,,
42,2,False,,,,,,,,
43,10,False,,,,,,,,
44,4,False,,,,,,,,
45,4,True,2.0,True,False,True,sidewalk,,,
46,4,True,1.0,False,False,True,roadway,,,
47,2,False,,,,,,,,
48,2,False,,,,,,,,
49,5,True,1.0,False,True,False,bike_lane,,,
50,5,False,,,,,,,,
51,1,True,1.0,False,True,False,bike_lane,,,
52,3,False,,,,,,,,
53,5,True,1.0,False,True,False,bike_lane,,,
54,11,True,1.0,False,True,False,bike_lane,,,
55,1,False,,,,,,,,
56,3,True,1.0,False,True,False,bike_lane,,,
57,7,True,3.0,False,True,False,bike_lane,,,
58,4,True,2.0,False,True,False,bike_lane,True,against_flow,-0.8918094852083366
59,1,False,,,,,,,,
60,5,False,,,,,,,,
61,1,False,,,,,,,,
62,1,True,1.0,False,True,False,bike_lane,,,
63,1,True,2.0,False,True,False,bike_lane,,,
64,2,True,3.0,False,True,False,bike_lane,True,against_flow,-0.7880725803472636
65,4,False,,,,,,,,
66,10,False,,,,,,,,
67,18,True,12.0,False,True,True,bike_lane,False,along_flow,0.9248421042307374
68,7,True,2.0,False,True,True,bike_lane,True,against_flow,-0.9570308060751069
69,4,True,1.0,False,True,False,bike_lane,,,
70,1,False,,,,,,,,
71,1,False,,,,,,,,
72,4,True,2.0,False,False,True,roadway,,,
73,2,False,,,,,,,,
74,1,False,,,,,,,,
75,1,False,,,,,,,,
76,3,False,,,,,,,,
77,1,False,,,,,,,,
78,1,False,,,,,,,,
