event_id,n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow
0,12,False,,,,,,,,
1,2,True,4.0,False,False,True,roadway,,,
2,6,True,1.0,True,False,False,sidewalk,,,
3,4,True,1.0,True,False,False,sidewalk,,,
4,4,False,,,,,,,,
5,2,False,,,,,,,,
6,3,False,,,,,,,,
7,1,False,,,,,,,,
8,2,False,,,,,,,,
9,2,False,,,,,,,,
10,2,False,,,,,,,,
11,5,False,,,,,,,,
12,6,True,1.0,False,True,False,bike_lane,,,
13,2,False,,,,,,,,
14,5,True,1.0,False,False,True,roadway,,,
15,5,True,2.0,False,False,True,roadway,True,against_flow,-0.9703674289532522
16,4,False,,,,,,,,
17,10,True,3.0,False,True,True,roadway,False,along_flow,0.863141546024751
18,3,False,,,,,,,,
19,2,True,1.0,False,False,True,roadway,,,
20,2,False,,,,,,,,
21,1,False,,,,,,,,
22,3,False,,,,,,,,
23,1,True,2.0,False,True,True,bike_lane,,,
24,3,False,,,,,,,,
25,5,True,2.0,False,True,False,bike_lane,False,along_flow,0.9864030422695693
26,1,True,1.0,False,False,True,roadway,,,
27,1,True,1.0,False,True,False,bike_lane,,,
28,6,True,5.0,True,True,False,sidewalk,False,along_flow,0.14619284602485383
29,4,True,8.0,True,False,True,roadway,False,along_flow,0.9789484132493693
30,4,False,,,,,,,,
31,1,True,1.0,False,True,False,bike_lane,,,
32,3,True,2.0,False,False,True,roadway,False,along_flow,0.9471105430838298
33,13,True,1.0,False,False,True,roadway,,,
34,2,False,,,,,,,,
35,12,True,6.0,False,True,False,bike_lane,,,
36,7,False,,,,,,,,
37,13,True,3.0,False,True,False,bike_lane,False,along_flow,0.794834367818346
38,2,True,1.0,False,True,False,bike_lane,,,
39,7,False,,,,,,,,
40,7,True,1.0,False,True,False,bike_lane,,,
41,4,False,,,,,,,,
42,1,True,1.0,False,True,False,bike_lane,,,
43,7,True,1.0,False,True,False,bike_lane,,,
44,2,False,,,,,,,,
45,15,True,2.0,False,True,True,bike_lane,False,along_flow,0.5774478114366356
46,3,True,1.0,True,False,False,sidewalk,,,
47,1,True,1.0,False,True,False,bike_lane,,,
48,3,True,1.0,True,False,False,sidewalk,,,
49,4,False,,,,,,,,
50,3,False,,,,,,,,
51,2,False,,,,,,,,
52,1,False,,,,,,,,
53,4,True,1.0,False,True,False,bike_lane,,,
54,2,False,,,,,,,,
55,9,True,1.0,False,True,False,bike_lane,,,
56,9,False,,,,,,,,
57,1,True,1.0,False,True,False,bike_lane,,,
58,4,True,1.0,False,False,True,roadway,,,
59,2,False,,,,,,,,
60,2,False,,,,,,,,
61,4,False,,,,,,,,
62,3,True,2.0,False,True,True,bike_lane,True,against_flow,-0.3603139971123312
63,3,True,1.0,False,True,False,bike_lane,,,
64,5,False,,,,,,,,
65,5,True,2.0,False,True,False,bike_lane,,,
66,1,False,,,,,,,,
67,6,False,,,,,,,,
68,4,False,,,,,,,,
69,10,True,2.0,False,True,False,bike_lane,False,along_flow,0.9030397758162851
70,5,True,1.0,True,False,False,sidewalk,,,
71,7,True,2.0,True,False,False,sidewalk,False,along_flow,0.917999609586208
72,2,False,,,,,,,,
73,6,False,,,,,,,,
74,3,True,1.0,True,False,False,sidewalk,,,
75,2,False,,,,,,,,
76,20,True,3.0,True,True,False,sidewalk,False,along_flow,0.9763463476360901
77,5,True,1.0,False,False,True,roadway,,,
78,3,True,1.0,False,True,False,bike_lane,,,
79,8,True,2.0,False,True,False,bike_lane,False,along_flow,0.9997126231575924
80,4,True,2.0,False,False,True,roadway,,,
81,4,False,,,,,,,,
82,5,False,,,,,,,,
83,3,False,,,,,,,,
84,4,True,1.0,False,True,False,bike_lane,,,
85,4,True,1.0,True,False,False,sidewalk,,,
86,1,True,1.0,False,True,False,bike_lane,,,
87,2,False,,,,,,,,
88,2,False,,,,,,,,
89,9,True,1.0,False,True,False,bike_lane,,,
90,5,False,,,,,,,,
91,3,True,1.0,False,True,False,bike_lane,,,
92,4,False,,,,,,,,
93,6,True,1.0,False,True,False,bike_lane,,,
94,2,True,1.0,False,True,False,bike_lane,,,
95,4,True,1.0,False,True,False,bike_lane,,,
96,2,False,,,,,,,,
97,7,True,2.0,True,True,False,sidewalk,False,along_flow,0.9952226326138357
98,4,False,,,,,,,,
99,2,True,1.0,False,False,True,roadway,,,
100,3,True,1.0,False,True,False,bike_lane,,,
101,2,False,,,,,,,,
102,2,True,2.0,True,False,False,sidewalk,,,
103,1,True,1.0,False,True,False,bike_lane,,,
104,2,True,1.0,False,False,True,roadway,,,
105,1,False,,,,,,,,
106,2,False,,,,,,,,
107,5,True,3.0,False,True,True,bike_lane,False,along_flow,0.9377850087372104
108,2,False,,,,,,,,
109,1,False,,,,,,,,
110,2,False,,,,,,,,
111,1,False,,,,,,,,
112,1,False,,,,,,,,
113,3,False,,,,,,,,
114,3,False,,,,,,,,
115,1,False,,,,,,,,
116,5,False,,,,,,,,
117,3,False,,,,,,,,
118,1,False,,,,,,,,
119,3,False,,,,,,,,
120,2,False,,,,,,,,
121,1,False,,,,,,,,
122,1,False,,,,,,,,
123,1,False,,,,,,,,
124,1,True,1.0,False,True,False,bike_lane,,,
125,1,False,,,,,,,,
126,1,False,,,,,,,,
127,1,False,,,,,,,,
128,1,False,,,,,,,,
129,1,False,,,,,,,,
130,1,False,,,,,,,,
131,2,False,,,,,,,,
132,2,False,,,,,,,,
133,2,False,,,,,,,,
134,1,False,,,,,,,,
135,1,False,,,,,,,,
136,1,False,,,,,,,,
137,2,False,,,,,,,,
138,1,False,,,,,,,,
139,1,False,,,,,,,,
140,1,False,,,,,,,,
141,1,False,,,,,,,,
142,2,False,,,,,,,,
143,1,False,,,,,,,,
144,1,False,,,,,,,,
145,1,False,,,,,,,,
146,1,False,,,,,,,,
147,1,False,,,,,,,,
148,1,False,,,,,,,,
149,2,False,,,,,,,,
150,2,False,,,,,,,,
151,2,False,,,,,,,,
152,4,True,1.0,True,False,False,sidewalk,,,
153,1,False,,,,,,,,
154,3,True,1.0,True,False,False,sidewalk,,,
155,1,False,,,,,,,,
156,7,True,1.0,False,True,False,bike_lane,,,
157,3,False,,,,,,,,
158,3,False,,,,,,,,
159,5,True,3.0,True,False,True,roadway,,,
160,7,True,2.0,True,False,True,sidewalk,True,against_flow,-0.9959481735306197
161,5,True,1.0,False,True,False,bike_lane,,,
162,2,False,,,,,,,,
163,4,False,,,,,,,,
164,2,False,,,,,,,,
165,2,False,,,,,,,,
166,1,False,,,,,,,,
167,2,False,,,,,,,,
168,5,False,,,,,,,,
