n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow,event_id
2,True,1.0,False,True,False,bike_lane,,,,0
1,False,,,,,,,,,1
1,False,,,,,,,,,2
1,False,,,,,,,,,3
2,False,,,,,,,,,4
1,False,,,,,,,,,5
1,False,,,,,,,,,6
2,True,1.0,False,True,False,bike_lane,,,,7
1,False,,,,,,,,,8
2,False,,,,,,,,,9
1,False,,,,,,,,,10
1,False,,,,,,,,,11
1,False,,,,,,,,,12
1,False,,,,,,,,,13
1,False,,,,,,,,,14
2,False,,,,,,,,,15
2,True,1.0,True,False,False,sidewalk,,,,16
1,False,,,,,,,,,17
2,True,2.0,False,True,False,bike_lane,,,,18
3,False,,,,,,,,,19
1,False,,,,,,,,,20
1,False,,,,,,,,,21
2,False,,,,,,,,,22
1,True,1.0,False,True,False,bike_lane,,,,23
1,True,1.0,False,True,False,bike_lane,,,,24
1,True,1.0,False,True,False,bike_lane,,,,25
1,False,,,,,,,,,26
4,True,5.0,True,True,False,sidewalk,False,along_flow,0.9776041722755155,27
1,False,,,,,,,,,28
1,False,,,,,,,,,29
2,True,1.0,False,True,False,bike_lane,,,,30
2,True,2.0,True,True,False,sidewalk,True,against_flow,-0.5457353610843223,31
1,True,1.0,False,True,False,bike_lane,,,,32
1,False,,,,,,,,,33
1,False,,,,,,,,,34
1,False,,,,,,,,,35
1,False,,,,,,,,,36
3,True,4.0,True,True,False,bike_lane,False,along_flow,0.942951944867677,37
2,False,,,,,,,,,38
2,False,,,,,,,,,39
1,False,,,,,,,,,40
3,False,,,,,,,,,41
2,False,,,,,,,,,42
