n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow,event_id
1,True,1.0,False,False,True,roadway,,,,0
4,False,,,,,,,,,1
1,False,,,,,,,,,2
1,True,1.0,False,True,False,bike_lane,,,,3
2,True,1.0,True,False,False,sidewalk,,,,4
2,True,3.0,True,True,False,bike_lane,True,against_flow,-0.9411849938059814,5
2,False,,,,,,,,,6
3,True,1.0,False,False,True,roadway,,,,7
2,True,1.0,False,True,False,bike_lane,,,,8
2,False,,,,,,,,,9
2,False,,,,,,,,,10
3,False,,,,,,,,,11
2,False,,,,,,,,,12
2,False,,,,,,,,,13
2,False,,,,,,,,,14
2,False,,,,,,,,,15
1,False,,,,,,,,,16
2,False,,,,,,,,,17
1,False,,,,,,,,,18
2,False,,,,,,,,,19
1,False,,,,,,,,,20
1,False,,,,,,,,,21
1,False,,,,,,,,,22
1,False,,,,,,,,,23
1,False,,,,,,,,,24
2,False,,,,,,,,,25
2,True,2.0,False,True,False,bike_lane,False,along_flow,0.976658613523388,26
2,True,1.0,False,True,False,bike_lane,,,,27
1,True,1.0,False,False,True,roadway,,,,28
3,False,,,,,,,,,29
4,False,,,,,,,,,30
6,True,2.0,False,True,False,bike_lane,True,against_flow,-0.7750571106031963,31
1,False,,,,,,,,,32
5,True,2.0,False,True,False,bike_lane,False,along_flow,0.8753404624509005,33
2,False,,,,,,,,,34
2,False,,,,,,,,,35
2,False,,,,,,,,,36
2,True,2.0,False,True,False,bike_lane,,,,37
2,True,2.0,False,True,False,bike_lane,False,along_flow,0.9740304779983596,38
3,True,3.0,False,True,False,bike_lane,False,along_flow,0.9910479768648371,39
1,False,,,,,,,,,40
1,True,1.0,False,True,False,bike_lane,,,,41
1,False,,,,,,,,,42
2,True,1.0,False,False,True,roadway,,,,43
3,False,,,,,,,,,44
2,False,,,,,,,,,45
3,False,,,,,,,,,46
1,False,,,,,,,,,47
2,False,,,,,,,,,48
2,False,,,,,,,,,49
3,False,,,,,,,,,50
6,True,2.0,False,True,True,bike_lane,True,against_flow,-0.3719919402551761,51
4,True,3.0,False,True,False,bike_lane,False,along_flow,0.9699864897117334,52
1,False,,,,,,,,,53
3,False,,,,,,,,,54
3,True,3.0,False,True,True,bike_lane,False,along_flow,0.9992692831313087,55
1,False,,,,,,,,,56
1,False,,,,,,,,,57
4,True,1.0,False,True,False,bike_lane,,,,58
2,True,4.0,False,True,False,bike_lane,False,along_flow,0.9954757180914557,59
2,True,1.0,False,True,False,bike_lane,,,,60
1,True,1.0,False,True,False,bike_lane,,,,61
3,True,6.0,False,True,False,bike_lane,,,,62
4,True,4.0,False,True,True,roadway,False,along_flow,0.9911843638757067,63
4,True,2.0,False,True,False,bike_lane,False,along_flow,0.9879325651413458,64
1,False,,,,,,,,,65
1,False,,,,,,,,,66
1,True,2.0,False,True,False,bike_lane,,,,67
2,True,3.0,False,False,True,roadway,False,along_flow,0.9982189628240111,68
1,False,,,,,,,,,69
2,False,,,,,,,,,70
2,False,,,,,,,,,71
4,True,1.0,False,True,False,bike_lane,,,,72
2,False,,,,,,,,,73
7,True,5.0,False,True,False,bike_lane,True,against_flow,-0.028695253861211745,74
1,True,1.0,False,True,False,bike_lane,,,,75
1,False,,,,,,,,,76
