loc,fwd_bl,fwd_sw,fwd_rd,fwd_total,ww_bl,ww_sw,ww_rd,ww_total,total,ww_rate
02,2,0,0,2,0,0,0,0,2,0.0
04,99,66,5,170,7,55,0,62,232,0.267
04-2,66,50,1,117,8,37,0,45,162,0.278
06,19,43,0,62,0,38,0,38,100,0.380
08,65,56,0,121,1,92,0,93,214,0.434
10,45,56,0,101,1,58,0,59,160,0.369
11,65,0,1,66,1,0,0,1,67,0.015
12,92,0,1,93,6,1,1,8,101,0.079
13,51,6,0,57,3,12,0,15,72,0.208
15,57,14,0,71,0,10,0,10,81,0.123
16,47,9,0,56,2,9,0,11,67,0.164
17,413,0,1,414,4,0,2,6,420,0.014
18,5,12,0,17,0,6,0,6,23,0.261
19,50,4,9,63,12,0,0,12,75,0.160
19-2,26,3,1,30,5,4,0,9,39,0.231
21,0,3,0,3,0,1,0,1,4,0.250
23,26,35,0,61,2,30,0,32,93,0.344
24,11,7,0,18,1,6,0,7,25,0.280
25,1,2,0,3,2,1,0,3,6,0.500
