track_id,crossing_any,crossing_crosswalk,crossing_non_crosswalk,in_bike_lane_any,in_sidewalk_any,in_roadway_any,dominant_space,direction,cos_to_flow,wrong_way
20000,False,False,False,False,False,False,unknown,NA,NA,NA
60000,False,False,False,False,False,False,unknown,NA,NA,NA
70000,False,False,False,False,False,False,unknown,NA,NA,NA
70001,False,False,False,False,False,False,unknown,NA,NA,NA
80000,False,False,False,False,False,False,unknown,NA,NA,NA
90000,False,False,False,False,False,False,unknown,NA,NA,NA
100000,False,False,False,False,False,False,unknown,NA,NA,NA
130000,False,False,False,False,False,False,unknown,NA,NA,NA
140000,False,False,False,False,False,False,unknown,NA,NA,NA
140001,False,False,False,False,False,False,unknown,NA,NA,NA
170000,False,False,False,False,False,False,unknown,NA,NA,NA
170001,False,False,False,False,False,False,unknown,NA,NA,NA
220000,False,False,False,False,False,False,unknown,NA,NA,NA
220001,False,False,False,False,False,False,unknown,NA,NA,NA
250000,False,False,False,False,False,False,unknown,NA,NA,NA
270000,False,False,False,False,False,False,unknown,NA,NA,NA
290000,False,False,False,False,False,False,unknown,NA,NA,NA
300000,False,False,False,False,False,False,unknown,NA,NA,NA
310000,False,False,False,False,False,False,unknown,NA,NA,NA
310001,False,False,False,False,False,False,unknown,NA,NA,NA
330000,False,False,False,False,False,False,unknown,NA,NA,NA
350000,False,False,False,False,False,False,unknown,NA,NA,NA
380000,False,False,False,False,False,False,unknown,NA,NA,NA
380001,False,False,False,False,False,False,unknown,NA,NA,NA
380002,False,False,False,False,False,False,unknown,NA,NA,NA
400000,False,False,False,False,False,False,unknown,NA,NA,NA
450000,False,False,False,False,False,False,unknown,NA,NA,NA
460000,False,False,False,False,False,False,unknown,NA,NA,NA
460001,False,False,False,False,False,False,unknown,NA,NA,NA
490000,False,False,False,False,False,False,unknown,NA,NA,NA
510000,False,False,False,False,False,False,unknown,NA,NA,NA
530000,False,False,False,False,False,False,unknown,NA,NA,NA
540000,False,False,False,False,False,False,unknown,NA,NA,NA
540001,False,False,False,False,False,False,unknown,NA,NA,NA
560000,False,False,False,False,False,False,unknown,NA,NA,NA
570000,False,False,False,False,False,False,unknown,NA,NA,NA
580000,False,False,False,False,False,False,unknown,NA,NA,NA
620000,False,False,False,False,False,False,unknown,NA,NA,NA
630000,False,False,False,False,False,False,unknown,NA,NA,NA
640000,False,False,False,False,False,False,unknown,NA,NA,NA
640001,False,False,False,False,False,False,unknown,NA,NA,NA
670000,False,False,False,False,False,False,unknown,NA,NA,NA
670001,False,False,False,True,False,True,bike_lane,NA,NA,NA
680000,False,False,False,False,False,False,unknown,NA,NA,NA
680001,False,False,False,False,False,False,unknown,NA,NA,NA
690000,False,False,False,False,False,False,unknown,NA,NA,NA
700000,False,False,False,False,False,False,unknown,NA,NA,NA
720000,False,False,False,False,False,False,unknown,NA,NA,NA
720001,False,False,False,False,False,False,unknown,NA,NA,NA
740000,False,False,False,False,False,False,unknown,NA,NA,NA
770000,False,False,False,False,False,False,unknown,NA,NA,NA
790000,False,False,False,False,False,False,unknown,NA,NA,NA
800000,False,False,False,False,False,False,unknown,NA,NA,NA
810000,False,False,False,False,False,False,unknown,NA,NA,NA
810001,False,False,False,False,False,False,unknown,NA,NA,NA
820000,False,False,False,False,False,False,unknown,NA,NA,NA
830000,False,False,False,False,False,False,unknown,NA,NA,NA
850000,False,False,False,False,False,False,unknown,NA,NA,NA
900000,False,False,False,False,False,False,unknown,NA,NA,NA
910000,False,False,False,False,False,False,unknown,NA,NA,NA
980000,False,False,False,False,False,False,unknown,NA,NA,NA
990000,False,False,False,False,False,False,unknown,NA,NA,NA
990001,False,False,False,False,False,False,unknown,NA,NA,NA
1000000,False,False,False,False,False,False,unknown,NA,NA,NA
1040000,False,False,False,False,False,False,unknown,NA,NA,NA
1070000,False,False,False,False,False,False,unknown,NA,NA,NA
1080000,False,False,False,False,False,False,unknown,NA,NA,NA
1120000,False,False,False,False,False,False,unknown,NA,NA,NA
1140000,False,False,False,False,False,False,unknown,NA,NA,NA
1260000,False,False,False,False,False,False,unknown,NA,NA,NA
1280000,False,False,False,False,False,False,unknown,NA,NA,NA
1350000,False,False,False,False,False,False,unknown,NA,NA,NA
1410000,False,False,False,False,False,False,unknown,NA,NA,NA
1450000,False,False,False,False,False,False,unknown,NA,NA,NA
1480000,False,False,False,False,False,False,unknown,NA,NA,NA
1480001,False,False,False,False,False,False,unknown,NA,NA,NA
1490000,False,False,False,False,False,False,unknown,NA,NA,NA
1490001,False,False,False,False,False,False,unknown,NA,NA,NA
1490002,False,False,False,False,False,False,unknown,NA,NA,NA
