n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow,event_id
1,True,1.0,True,False,False,sidewalk,,,,0
1,True,1.0,True,False,False,sidewalk,,,,1
1,True,1.0,True,False,False,sidewalk,,,,2
1,False,,,,,,,,,3
2,True,2.0,True,False,False,sidewalk,False,along_flow,0.9947149602999652,4
1,True,1.0,True,False,False,sidewalk,,,,5
1,True,1.0,True,False,False,sidewalk,,,,6
1,True,1.0,True,False,False,sidewalk,,,,7
1,True,4.0,True,False,False,sidewalk,,,,8
1,True,1.0,True,False,False,sidewalk,,,,9
1,True,1.0,True,False,False,sidewalk,,,,10
2,True,1.0,False,True,False,bike_lane,,,,11
2,True,3.0,True,True,False,bike_lane,False,along_flow,0.9975283295206167,12
1,True,1.0,False,True,False,bike_lane,,,,13
2,True,2.0,False,True,False,bike_lane,False,along_flow,0.9997848322133901,14
1,False,,,,,,,,,15
1,True,1.0,True,False,False,sidewalk,,,,16
4,True,2.0,False,True,False,bike_lane,True,against_flow,-0.9999196235004999,17
1,True,1.0,True,False,False,sidewalk,,,,18
1,True,1.0,True,False,False,sidewalk,,,,19
1,True,1.0,True,False,False,sidewalk,,,,20
2,True,2.0,True,True,False,sidewalk,True,against_flow,-0.4815203773470284,21
1,True,1.0,False,True,False,bike_lane,,,,22
2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.8152965049914449,23
3,True,2.0,True,False,False,sidewalk,False,along_flow,0.9776708582302437,24
1,True,1.0,True,False,False,sidewalk,,,,25
2,True,2.0,True,True,False,sidewalk,False,along_flow,0.653649569305245,26
1,True,1.0,True,False,False,sidewalk,,,,27
1,True,1.0,True,False,False,sidewalk,,,,28
3,True,2.0,True,True,False,sidewalk,True,against_flow,-0.7269289827793763,29
1,True,1.0,False,True,False,bike_lane,,,,30
2,True,4.0,True,True,False,sidewalk,True,against_flow,-0.9511773582391152,31
2,True,4.0,False,True,False,bike_lane,False,along_flow,0.9986523455360354,32
1,True,1.0,False,True,False,bike_lane,,,,33
1,True,1.0,False,True,False,bike_lane,,,,34
1,True,1.0,True,False,False,sidewalk,,,,35
2,True,1.0,False,True,False,bike_lane,,,,36
4,True,5.0,True,True,False,sidewalk,True,against_flow,-0.4632162246919146,37
1,True,1.0,False,True,False,bike_lane,,,,38
1,True,1.0,True,False,False,sidewalk,,,,39
1,True,1.0,True,False,False,sidewalk,,,,40
1,True,1.0,True,False,False,sidewalk,,,,41
1,True,1.0,False,True,False,bike_lane,,,,42
1,True,1.0,True,False,False,sidewalk,,,,43
2,True,1.0,True,False,False,sidewalk,,,,44
1,True,1.0,True,False,False,sidewalk,,,,45
1,True,2.0,True,False,False,sidewalk,,,,46
1,True,1.0,True,False,False,sidewalk,,,,47
1,True,1.0,True,False,False,sidewalk,,,,48
1,False,,,,,,,,,49
1,False,,,,,,,,,50
1,True,1.0,True,False,False,sidewalk,,,,51
1,True,1.0,True,False,False,sidewalk,,,,52
2,True,1.0,True,False,False,sidewalk,,,,53
2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.997423342809615,54
1,True,1.0,True,False,False,sidewalk,,,,55
2,True,1.0,True,False,False,sidewalk,,,,56
1,False,,,,,,,,,57
1,False,,,,,,,,,58
2,True,3.0,True,True,False,sidewalk,True,against_flow,-0.876901441556112,59
2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.9698742843843831,60
1,True,1.0,True,False,False,sidewalk,,,,61
1,False,,,,,,,,,62
1,True,1.0,True,False,False,sidewalk,,,,63
1,False,,,,,,,,,64
2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.9947498444021619,65
1,False,,,,,,,,,66
1,True,1.0,True,False,False,sidewalk,,,,67
3,True,4.0,True,True,False,bike_lane,False,along_flow,0.9019505151178472,68
3,True,2.0,True,False,False,sidewalk,True,against_flow,-0.9255019262799712,69
1,True,1.0,True,False,False,sidewalk,,,,70
1,False,,,,,,,,,71
2,True,2.0,True,False,False,sidewalk,True,against_flow,-0.9858800656419237,72
2,True,2.0,False,True,False,bike_lane,True,against_flow,-0.9735602157797147,73
1,True,2.0,False,True,False,bike_lane,,,,74
1,True,1.0,True,False,False,sidewalk,,,,75
2,True,1.0,False,True,False,bike_lane,,,,76
1,True,1.0,True,False,False,sidewalk,,,,77
1,True,1.0,False,True,False,bike_lane,,,,78
1,True,1.0,True,False,False,sidewalk,,,,79
1,True,1.0,False,True,False,bike_lane,,,,80
3,True,4.0,True,False,False,sidewalk,False,along_flow,0.9847954675698476,81
1,True,1.0,False,True,False,bike_lane,,,,82
1,True,1.0,False,True,False,bike_lane,,,,83
1,True,1.0,True,False,False,sidewalk,,,,84
1,True,1.0,True,False,False,sidewalk,,,,85
1,True,1.0,True,False,False,sidewalk,,,,86
1,True,1.0,False,True,False,bike_lane,,,,87
2,True,1.0,True,False,False,sidewalk,,,,88
5,True,13.0,True,True,False,sidewalk,False,along_flow,0.9999665530896347,89
1,False,,,,,,,,,90
3,True,3.0,True,True,False,bike_lane,False,along_flow,0.574981846290469,91
1,True,1.0,True,False,False,sidewalk,,,,92
2,True,1.0,True,False,False,sidewalk,,,,93
1,True,1.0,True,False,False,sidewalk,,,,94
1,True,1.0,True,False,False,sidewalk,,,,95
1,True,1.0,True,False,False,sidewalk,,,,96
1,False,,,,,,,,,97
1,False,,,,,,,,,98
1,True,1.0,False,True,False,bike_lane,,,,99
1,True,2.0,False,True,False,bike_lane,,,,100
1,True,1.0,True,False,False,sidewalk,,,,101
1,True,3.0,True,False,False,sidewalk,,,,102
1,False,,,,,,,,,103
