location,captures,riders,sidewalk,bike_lane,roadway,dom_sidewalk,dom_bike_lane,dom_roadway,dir_known,along,against,cross,ww_rate,ww_lo,ww_hi,coverage,person_cands
loc_02,10,4,0,4,0,0,4,0,1,1,0,0,0.0,0.0,0.7934567085261071,0.25,14
loc_04,889,220,121,99,9,116,97,7,35,24,11,0,0.3142857142857143,0.18550658059782457,0.47980071879251973,0.1590909090909091,1954
loc_04-2,584,146,70,79,6,64,77,5,16,10,6,0,0.375,0.18480982554752803,0.6135935290206519,0.1095890410958904,1433
loc_06,115,74,64,10,0,64,10,0,2,2,0,0,0.0,0.0,0.6576280471103807,0.02702702702702703,150
loc_08,446,183,119,46,24,117,46,20,9,3,6,0,0.6666666666666666,0.35419734749908977,0.8794184013172571,0.04918032786885246,1391
loc_10,162,143,93,51,1,92,51,0,4,3,1,0,0.25,0.045586062644636216,0.6993639475573634,0.027972027972027972,340
loc_11,120,58,0,57,1,0,57,1,2,1,1,0,0.5,0.09452865480086611,0.905471345199134,0.034482758620689655,296
loc_12,291,89,3,84,4,2,83,4,11,9,2,0,0.18181818181818182,0.05136660067100062,0.4769861375782449,0.12359550561797752,440
loc_13,119,62,18,43,1,18,43,1,8,7,1,4,0.125,0.02241690886329618,0.4708948057698615,0.12903225806451613,275
loc_15,267,91,26,62,6,25,62,4,11,9,2,0,0.18181818181818182,0.05136660067100062,0.4769861375782449,0.12087912087912088,631
loc_16,237,61,16,39,6,16,39,6,11,6,5,1,0.45454545454545453,0.21270957543988048,0.7199122443100118,0.18032786885245902,525
loc_17,1268,458,7,432,33,7,432,19,115,110,5,3,0.043478260869565216,0.01871182515342898,0.0977591749004242,0.25109170305676853,2099
loc_18,22,17,13,0,4,13,0,4,0,0,0,0,,,,0.0,46
loc_19,168,55,3,43,14,2,43,10,15,13,2,0,0.13333333333333333,0.037360469891359285,0.3788249920651624,0.2727272727272727,400
loc_19-2,65,31,5,21,7,4,21,6,3,2,1,0,0.3333333333333333,0.061490315276160515,0.7923450448735121,0.0967741935483871,189
loc_21,35,10,3,1,7,3,1,6,2,2,0,0,0.0,0.0,0.6576280471103807,0.2,61
loc_23,197,91,66,29,2,62,27,2,21,15,6,1,0.2857142857142857,0.138136757456282,0.49956773822837586,0.23076923076923078,362
loc_24,90,27,13,14,2,13,12,2,2,2,0,1,0.0,0.0,0.6576280471103807,0.07407407407407407,285
loc_25,9,3,0,3,0,0,3,0,0,0,0,0,,,,0.0,17
