location,riders,direction_known,unknown,no_pair_on_disk,pair_missed,too_little_motion,rescue_distrusted,no_exif,pct_pair_missed,pct_no_pair
loc_02,4,1,3,0,3,0,0,0,1.0,0.0
loc_04-2,146,16,130,54,49,15,12,0,0.3769230769230769,0.4153846153846154
loc_04,220,35,185,100,48,21,16,0,0.2594594594594595,0.5405405405405406
loc_06,74,2,72,57,13,0,2,0,0.18055555555555555,0.7916666666666666
loc_08,183,9,174,130,28,8,8,0,0.16091954022988506,0.7471264367816092
loc_10,143,4,139,110,24,0,5,0,0.17266187050359713,0.7913669064748201
loc_11,58,2,56,47,7,0,2,0,0.125,0.8392857142857143
loc_12,89,11,78,9,36,1,32,0,0.46153846153846156,0.11538461538461539
loc_13,62,12,50,39,7,4,0,0,0.14,0.78
loc_15,91,11,80,24,33,2,21,0,0.4125,0.3
loc_16,61,12,49,15,18,2,14,0,0.3673469387755102,0.30612244897959184
loc_17,458,118,340,22,91,21,206,0,0.2676470588235294,0.06470588235294118
loc_18,17,0,17,15,2,0,0,0,0.11764705882352941,0.8823529411764706
loc_19-2,31,3,28,18,6,3,1,0,0.21428571428571427,0.6428571428571429
loc_19,55,15,40,15,15,3,7,0,0.375,0.375
loc_21,10,2,8,3,4,0,1,0,0.5,0.375
loc_23,91,22,69,26,27,9,7,0,0.391304347826087,0.37681159420289856
loc_24,27,3,24,12,7,3,2,0,0.2916666666666667,0.5
loc_25,3,0,3,3,0,0,0,0,0.0,1.0
